codigo,denominacao,atestado_bombeiros,licenca_ambiental,orgão_regulador,defesa_civil,laudo_acustico,outros_docs
14.21-5-00,Fabricação de meias,I - Indústria,Licenciamento Ambiental,-,-,-,-
14.22-3-00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",I - Indústria,Licenciamento Ambiental,-,-,-,-
15.10-6-00,Curtimento e outras preparações de couro,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.31-9-02,Acabamento de calçados de couro sob contrato,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.21-1-00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",I - Indústria,Licenciamento Ambiental,-,-,-,-
15.29-7-00,Fabricação de artefatos de couro não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.31-9-01,Fabricação de calçados de couro,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.32-7-00,Fabricação de tênis de qualquer material,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.33-5-00,Fabricação de calçados de material sintético,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.39-4-00,Fabricação de calçados de materiais não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
15.40-8-00,"Fabricação de partes para calçados, de qualquer material",I - Indústria,Licenciamento Ambiental,-,-,-,-
16.10-2-03,Serrarias com desdobramento de madeira em bruto,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.10-2-04,Serrarias sem desdobramento de madeira em bruto - Resseragem,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.10-2-05,Serviço de tratamento de madeira realizado sob contrato,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.21-8-00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",I - Indústria,Licenciamento Ambiental,-,-,-,-
16.22-6-01,Fabricação de casas de madeira pré-fabricadas,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.22-6-02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.22-6-99,Fabricação de outros artigos de carpintaria para construção,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.23-4-00,Fabricação de artefatos de tanoaria e de embalagens de madeira,I - Indústria,Licenciamento Ambiental,-,-,-,-
16.29-3-01,"Fabricação de artefatos diversos de madeira, exceto móveis",I - Indústria,Licenciamento Ambiental,-,-,-,-
16.29-3-02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",I - Indústria,Licenciamento Ambiental,-,-,-,-
17.10-9-00,Fabricação de celulose e outras pastas para a fabricação de papel,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.21-4-00,Fabricação de papel,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.22-2-00,Fabricação de cartolina e papel-cartão,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.31-1-00,Fabricação de embalagens de papel,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.32-0-00,Fabricação de embalagens de cartolina e papel-cartão,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.33-8-00,Fabricação de chapas e de embalagens de papelão ondulado,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.41-9-01,Fabricação de formulários contínuos,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.41-9-02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",I - Indústria,Licenciamento Ambiental,-,-,-,-
17.42-7-01,Fabricação de fraldas descartáveis,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.42-7-02,Fabricação de absorventes higiênicos,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.42-7-99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
17.49-4-00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",I - Indústria,Licenciamento Ambiental,-,-,-,-
18.11-3-01,Impressão de jornais,I - Indústria,Licenciamento Ambiental,-,-,-,-
18.11-3-02,"Impressão de livros, revistas e outras publicações periódicas",I - Indústria,Licenciamento Ambiental,-,-,-,-
18.12-1-00,Impressão de material de segurança,I - Indústria,Licenciamento Ambiental,-,-,-,-
18.13-0-01,Impressão de material para uso publicitário,I - Indústria,Licenciamento Ambiental,-,-,-,-
18.13-0-99,Impressão de material para outros usos,I - Indústria,Licenciamento Ambiental,-,-,-,-
18.21-1-00,Serviços de pré-impressão,C - Comercial,-,-,-,-,-
18.22-9-01,Serviços de encadernação e plastificação,C - Comercial,-,-,-,-,-
18.22-9-99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",C - Comercial,-,-,-,-,-
18.30-0-01,Reprodução de som em qualquer suporte,C - Comercial,-,-,-,-,-
18.30-0-02,Reprodução de vídeo em qualquer suporte,C - Comercial,-,-,-,-,-
18.30-0-03,Reprodução de software em qualquer suporte,C - Comercial,-,-,-,-,-
19.10-1-00,Coquerias,I - Indústria,Licenciamento Ambiental,-,-,-,-
19.21-7-00,Fabricação de produtos do refino de petróleo,I - Indústria,Licenciamento Ambiental,-,-,-,-
19.22-5-01,Formulação de combustíveis,I - Indústria,Licenciamento Ambiental,-,-,-,-
19.22-5-02,Rerrefino de óleos lubrificantes,I - Indústria,Licenciamento Ambiental,-,-,-,-
19.22-5-99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",I - Indústria,Licenciamento Ambiental,-,-,-,-
19.31-4-00,Fabricação de álcool,I - Indústria,Licenciamento Ambiental,-,-,-,-
19.32-2-00,"Fabricação de biocombustíveis, exceto álcool",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.11-8-00,Fabricação de cloro e álcalis,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.12-6-00,Fabricação de intermediários para fertilizantes,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.13-4-01,Fabricação de adubos e fertilizantes organo-minerais,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.13-4-02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.14-2-00,Fabricação de gases industriais,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.19-3-01,Elaboração de combustíveis nucleares,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.19-3-99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.21-5-00,Fabricação de produtos petroquímicos básicos,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.22-3-00,"Fabricação de intermediários para plastificantes, resinas e fibras",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.29-1-00,Fabricação de produtos químicos orgânicos não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.31-2-00,Fabricação de resinas termoplásticas,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.32-1-00,Fabricação de resinas termofixas,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.33-9-00,Fabricação de elastômeros,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.40-1-00,Fabricação de fibras artificiais e sintéticas,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.51-7-00,Fabricação de defensivos agrícolas,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.52-5-00,Fabricação de desinfestantes domissanitários,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.61-4-00,Fabricação de sabões e detergentes sintéticos,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.62-2-00,Fabricação de produtos de limpeza e polimento,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.63-1-00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.71-1-00,"Fabricação de tintas, vernizes, esmaltes e lacas",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.72-0-00,Fabricação de tintas de impressão,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.73-8-00,"Fabricação de impermeabilizantes, solventes e produtos afins",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.91-6-00,Fabricação de adesivos e selantes,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.92-4-01,"Fabricação de pólvoras, explosivos e detonantes",L - Explosivo,Licenciamento Ambiental,-,Parecer da defesa civil,-,-
20.92-4-02,Fabricação de artigos pirotécnicos,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.92-4-03,Fabricação de fósforos de segurança,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.93-2-00,Fabricação de aditivos de uso industrial,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.94-1-00,Fabricação de catalisadores,I - Indústria,Licenciamento Ambiental,-,-,-,-
20.99-1-01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",I - Indústria,Licenciamento Ambiental,-,-,-,-
20.99-1-99,Fabricação de outros produtos químicos não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
21.10-6-00,Fabricação de produtos farmoquímicos,I - Indústria,Licenciamento Ambiental,-,-,-,-
21.21-1-01,Fabricação de medicamentos alopáticos para uso humano,I - Indústria,Licenciamento Ambiental,-,-,-,-
21.21-1-02,Fabricação de medicamentos homeopáticos para uso humano,I - Indústria,Licenciamento Ambiental,-,-,-,-
21.21-1-03,Fabricação de medicamentos fitoterápicos para uso humano,I - Indústria,Licenciamento Ambiental,-,-,-,-
21.22-0-00,Fabricação de medicamentos para uso veterinário,I - Indústria,Licenciamento Ambiental,-,-,-,-
21.23-8-00,Fabricação de preparações farmacêuticas,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.11-1-00,Fabricação de pneumáticos e de câmaras-de-ar,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.19-6-00,Fabricação de artefatos de borracha não especificados  anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.21-8-00,Fabricação de laminados planos e tubulares de material plástico,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.22-6-00,Fabricação de embalagens de material plástico,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.23-4-00,Fabricação de tubos e acessórios de material plástico para uso na construção,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.29-3-01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.29-3-02,Fabricação de artefatos de material plástico para usos industriais,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.29-3-03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
22.29-3-99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
22.12-9-00,Reforma de pneumáticos usados,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.11-7-00,Fabricação de vidro plano e de segurança,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.12-5-00,Fabricação de embalagens de vidro,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.19-2-00,Fabricação de artigos de vidro,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.30-3-01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",I - Indústria,Licenciamento Ambiental,-,-,-,-
23.30-3-02,Fabricação de artefatos de cimento para uso na construção,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.30-3-03,Fabricação de artefatos de fibrocimento para uso na construção,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.30-3-04,Fabricação de casas pré-moldadas de concreto,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.30-3-05,Preparação de massa de concreto e argamassa para construção,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.30-3-99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",I - Indústria,Licenciamento Ambiental,-,-,-,-
23.41-9-00,Fabricação de produtos cerâmicos refratários,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.42-7-01,Fabricação de azulejos e pisos,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.42-7-02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",I - Indústria,Licenciamento Ambiental,-,-,-,-
23.49-4-01,Fabricação de material sanitário de cerâmica,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.49-4-99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.20-6-00,Fabricação de cimento,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.91-5-01,"Britamento de pedras, exceto associado à extração",I - Indústria,Licenciamento Ambiental,-,-,-,-
23.91-5-02,"Aparelhamento de pedras para construção, exceto associado à extração",I - Indústria,Licenciamento Ambiental,-,-,-,-
23.91-5-03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",I - Indústria,Licenciamento Ambiental,-,-,-,-
23.92-3-00,Fabricação de cal e gesso,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.99-1-02,Fabricação de abrasivos,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.99-1-99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
23.99-1-01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",I - Indústria,Licenciamento Ambiental,-,-,-,-
24.11-3-00,Produção de ferro-gusa,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.12-1-00,Produção de ferroligas,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.21-1-00,Produção de semiacabados de aço,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.22-9-01,"Produção de laminados planos de aço ao carbono, revestidos ou não",I - Indústria,Licenciamento Ambiental,-,-,-,-
24.22-9-02,Produção de laminados planos de aços especiais,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.23-7-01,Produção de tubos de aço sem costura,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.23-7-02,"Produção de laminados longos de aço, exceto tubos",I - Indústria,Licenciamento Ambiental,-,-,-,-
24.24-5-01,Produção de arames de aço,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.24-5-02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",I - Indústria,Licenciamento Ambiental,-,-,-,-
24.31-8-00,Produção de tubos de aço com costura,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.39-3-00,Produção de outros tubos de ferro e aço,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.41-5-01,Produção de alumínio e suas ligas em formas primárias,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.41-5-02,Produção de laminados de alumínio,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.42-3-00,Metalurgia dos metais preciosos,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.43-1-00,Metalurgia do cobre,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.49-1-01,Produção de zinco em formas primárias,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.49-1-02,Produção de laminados de zinco,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.49-1-03,Fabricação de ânodos para galvanoplastia,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.49-1-99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.51-2-00,Fundição de ferro e aço,I - Indústria,Licenciamento Ambiental,-,-,-,-
24.52-1-00,Fundição de metais não ferrosos e suas ligas,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.11-0-00,Fabricação de estruturas metálicas,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.12-8-00,Fabricação de esquadrias de metal,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.13-6-00,Fabricação de obras de caldeiraria pesada,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.21-7-00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",I - Indústria,Licenciamento Ambiental,-,-,-,-
25.22-5-00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",I - Indústria,Licenciamento Ambiental,-,-,-,-
25.31-4-01,Produção de forjados de aço,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.31-4-02,Produção de forjados de metais não ferrosos e suas ligas,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.32-2-01,Produção de artefatos estampados de metal,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.32-2-02,Metalurgia do pó,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.41-1-00,Fabricação de artigos de cutelaria,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.42-0-00,"Fabricação de artigos de serralheria, exceto esquadrias",I - Indústria,Licenciamento Ambiental,-,-,-,-
25.43-8-00,Fabricação de ferramentas,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.91-8-00,Fabricação de embalagens metálicas,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.92-6-01,Fabricação de produtos de trefilados de metal padronizados,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.92-6-02,"Fabricação de produtos de trefilados de metal, exceto padronizados",I - Indústria,Licenciamento Ambiental,-,-,-,-
25.93-4-00,Fabricação de artigos de metal para uso doméstico e pessoal,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.99-3-99,Fabricação de outros produtos de metal não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.39-0-01,"Serviços de usinagem, torneiria e solda",I - Indústria,Licenciamento Ambiental,-,-,-,-
25.99-3-01,Serviços de confecção de armações metálicas para a construção,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.99-3-02,Serviço de corte e dobra de metais,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.39-0-02,Serviços de tratamento e revestimento em metais,I - Indústria,Licenciamento Ambiental,-,-,-,-
25.50-1-01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",I - Indústria,Licenciamento Ambiental,-,-,-,-
25.50-1-02,"Fabricação de armas de fogo, outras armas e munições",I - Indústria,Licenciamento Ambiental,Autorização do Exército,-,-,-
26.10-8-00,Fabricação de componentes eletrônicos,I - Indústria,Licenciamento Ambiental,-,-,-,-
26.21-3-00,Fabricação de equipamentos de informática,I - Indústria,Licenciamento Ambiental,-,-,-,-
26.22-1-00,Fabricação de periféricos para equipamentos de informática,I - Indústria,Licenciamento Ambiental,-,-,-,-
26.31-1-00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.32-9-00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.40-0-00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.51-5-00,"Fabricação de aparelhos e equipamentos de medida, teste e controle",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.52-3-00,Fabricação de cronômetros e relógios,I - Indústria,Licenciamento Ambiental,-,-,-,-
26.70-1-01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.70-1-02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.80-9-00,"Fabricação de mídias virgens, magnéticas e ópticas",I - Indústria,Licenciamento Ambiental,-,-,-,-
26.60-4-00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.10-4-01,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.10-4-02,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.10-4-03,"Fabricação de motores elétricos, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.31-7-00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.32-5-00,Fabricação de material elétrico para instalações em circuito de consumo,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.33-3-00,"Fabricação de fios, cabos e condutores elétricos isolados",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.40-6-01,Fabricação de lâmpadas,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.40-6-02,Fabricação de luminárias e outros equipamentos de iluminação,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.51-1-00,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.59-7-01,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.59-7-99,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.90-2-01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.90-2-02,Fabricação de equipamentos para sinalização e alarme,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.90-2-99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.21-0-00,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",I - Indústria,Licenciamento Ambiental,-,-,-,-
27.22-8-01,Fabricação de baterias e acumuladores para veículos automotores,I - Indústria,Licenciamento Ambiental,-,-,-,-
27.22-8-02,Recondicionamento de baterias e acumuladores para veículos automotores,I - Indústria,Licenciamento Ambiental,-,-,-,-
28.11-9-00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.12-7-00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.13-5-00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.14-3-01,"Fabricação de compressores para uso industrial, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.14-3-02,"Fabricação de compressores para uso não industrial, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.15-1-01,Fabricação de rolamentos para fins industriais,I - Indústria,Licenciamento Ambiental,-,-,-,-
28.15-1-02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.21-6-01,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.21-6-02,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.22-4-01,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.22-4-02,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.23-2-00,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.24-1-01,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,I - Indústria,Licenciamento Ambiental,-,-,-,-
28.24-1-02,Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial,I - Indústria,Licenciamento Ambiental,-,-,-,-
28.25-9-00,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.29-1-01,"Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.29-1-99,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.31-3-00,"Fabricação de tratores agrícolas, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.32-1-00,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.33-0-00,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.40-2-00,"Fabricação de máquinas-ferramenta, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.51-8-00,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.52-6-00,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.53-4-00,"Fabricação de tratores, peças e acessórios, exceto agrícolas",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.54-2-00,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.61-5-00,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.62-3-00,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.63-1-00,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.64-0-00,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.65-8-00,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.66-6-00,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
28.69-1-00,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",I - Indústria,Licenciamento Ambiental,-,-,-,-
29.10-7-01,"Fabricação de automóveis, camionetas e utilitários",I - Indústria,Licenciamento Ambiental,-,-,-,-
29.10-7-02,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",I - Indústria,Licenciamento Ambiental,-,-,-,-
29.10-7-03,"Fabricação de motores para automóveis, camionetas e utilitários",I - Indústria,Licenciamento Ambiental,-,-,-,-
29.20-4-01,Fabricação de caminhões e ônibus,I - Indústria,Licenciamento Ambiental,-,-,-,-
29.20-4-02,Fabricação de motores para caminhões e ônibus,I - Indústria,Licenciamento Ambiental,-,-,-,-
29.30-1-01,"Fabricação de cabines, carrocerias e reboques para caminhões",I - Indústria,Licenciamento Ambiental,-,-,-,-
29.30-1-02,Fabricação de carrocerias para ônibus,I - Indústria,Licenciamento Ambiental,-,-,-,-
29.30-1-03,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",I - Indústria,Licenciamento Ambiental,-,-,-,-
29.41-7-00,Fabricação de peças e acessórios para o sistema motor de veículos automotores,I - Indústria,Licenciamento Ambiental,-,-,-,-
29.42-5-00,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,I - Indústria,Licenciamento Ambiental,-,-,-,-
